Country,AgriLand,ChildrenPerWoman,DemocracyScore,Exports,FemaleParticipation,ForestArea,GDPpercapita,HealthSpendPerPerson,Hightotechnologyexports,Imports,IncomePerPerson,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,LiteracyRateAdult,LIteracyRateYouth,Populationdensity,ElectricityPerPerson,Taxrevenue,Tradebalance,Trafficdeaths,Urbanpopulationgrowth,YearlyCO2emission
Philippines,28.2639308,6.041,-9,19.68046342,56.44285692,71170,861.4201371,16.97583262,59.50495266,19.46930767,1989.37407,34.225,54.5,6.511741506,3.375456919,61.245,90.44579849,94.87651112,125.152,110.1803071,14.1262833,0.211155751,9.119969493,4.394692297,26440.33333
Poland,63.57818039,2.231,-7,29.69904661,77.32857295,90590,4456.940822,333.4406993,3.482693483,32.25234089,8006.506993,26.48,28.7,14.19617278,18.87590375,70.85,99.61789,99.99986,102.349,151.5124043,16.99976263,-2.553294286,13.21086722,2.015692542,329923
Portugal,43.07103825,2.882,-9,21.65558326,69.78571374,34200,5340.804934,1014.757978,5.775806543,25.4617294,9022.247417,0,47.2,7.804567764,18.72269008,69.26,0,0,95.895,171.0366949,20.54964912,-3.806146141,25.20615,0.848347483,18348
PuertoRico,58.06087937,3.006,0,40.15168111,44.14285687,4640,7714.155822,0,0,61.41254402,9123.041742,0,60.5,4.378444498,17.66645291,72.216,88.64091766,91.22140511,314.768,0,0,-21.26086291,0,3.463104734,0
Qatar,4.400345125,6.794,-10,56.50396087,42.19999995,0,31882.43643,887.3751024,0.007753662,29.8673573,81068.89506,0,43.5,17.11450386,17.69887822,69.488,91.47606111,95.80385101,11.748,4529.676826,21.06702268,27.12993084,19.76734543,9.029826529,10783.66667
Romania,64.87366502,2.530973451,-7,31.10695541,78.57142966,63660,2015.411971,166.2098199,3.793394187,39.89495309,8011.414402,21.885,48.7,45.47341826,12.8599295,68.755,96.70998266,99.10746203,86.727,139.745867,15.09487185,-8.787997679,14.3535275,2.178437747,132410.6667
RussianFederation,13.26346246,1.993,-7,39.63678957,88.42857143,8092690,2154.90183,162.3366992,11.28271169,27.67497476,9954.959025,27.46,33.2,322.4320415,8.442935415,69.02,0,0,7.721,890.257405,14.52604661,11.96181482,21.04854286,1.816789621,1728385.267
Rwanda,61.12687475,8.278,-5,8.281938606,94.42857143,3440,205.6257785,9.147305063,9.12568675,16.25550659,590.5806638,37.8,131.6,1.84633292,1.248642269,44.554,64.88859517,77.62033288,151.45,0,9.048258736,-7.973567988,38.68658447,7.811798639,66
SaintHelena,0,0,0,0,0,0,0,0,0,0,1917.350277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SaintKittsandNevis,42.85714286,0,0,0,0,110,0,0,0.479063935,73.31097265,3182.978186,0,0,0,0,0,0,0,0,0,19.88054161,-22.86931878,13.59305668,0,0
SaintLucia,32.78688525,5.813,0,0,54.72857121,470,0,0,8.142089698,74.05131088,3291.34907,0,0,0,0,64.21,0,0,0,0,0,-13.25984905,18.64307404,0,0
SaintVincentandtheGrenadines,28.20512821,5.629,0,0,54.22857176,260,0,0,0.010443551,71.11171042,3012.804078,0,0,0,0,65.708,0,0,0,0,22.07636156,-18.48618059,8.782874107,0,0
SaintPierreetMiquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,27.56183746,7.039,0,33.31095641,56.39999989,1710,1388.948945,85.72917335,0.330158568,54.57265651,3623.393336,0,31.64,8.632017807,2.891179086,55.777,98.55447,99.38201,51.688,0,0,-21.10595565,8.599116325,1.861168719,36.66666667
SanMarino,16.66666667,0,0,0,0,0,13658.66844,2591.415928,0,0,18788.21673,0,5.125,5.632656547,38.82847838,0,0,0,317.951,0,21.48151214,0,9.910824776,4.187945147,0
SaoTomeandPrincipe,38.54166667,6.51,0,14.93760826,52.25714329,270,543.9990393,27.9005064,0.044979683,0,1532.985254,0,56.8,17.42163304,11.14712317,57.114,69.53638509,80.20315973,79.768,0,0,0,30.70319366,3.459017685,11
